mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
15	13	79	79	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		3	45	A2	2	228
15	13	79	79	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		3	45	A2	2	234
15	13	79	79	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		3	69	A4	4	222
15	13	79	79	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		7	73	C#5	5	218
16	14	80	80	1.0	0	0	3/2	3	1	1/4	1/4	1		4	52	E3	3	242
16	14	80	80	1.0	0	0	3/2	4	1	1/4	1/4	1		4	52	E3	3	248
16	14	80	80	3.0	0	0	3/2	2	1	3/4	1/2	3/2		8	68	G#4	4	239
16	14	80	80	3.0	0	0	3/2	1	1	3/4	1/2	3/2		5	71	B4	4	235
16	14	81	81	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		6	54	F#3	3	243
16	14	81	81	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		6	54	F#3	3	249
16	14	82	82	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		4	52	E3	3	244
16	14	82	82	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		4	52	E3	3	250
16	14	83	83	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		2	50	D3	3	245
16	14	83	83	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		2	50	D3	3	251
16	14	83	83	1.0	3/4	3/4	3/2	2	1	1/4	1/4	1		5	71	B4	4	240
16	14	83	83	1.0	3/4	3/4	3/2	1	1	1/4	1/4	1		4	76	E5	5	236
16	14	84	84	1.0	1	1	3/2	3	1	1/4	1/4	1		7	49	C#3	3	246
16	14	84	84	1.0	1	1	3/2	4	1	1/4	1/4	1		7	49	C#3	3	252
16	14	84	84	2.0	1	1	3/2	2	1	1/2	1/2	1		7	73	C#5	5	241
16	14	84	84	1.0	1	1	3/2	1	1	1/4	1/4	1		3	81	A5	5	237
16	14	85	85	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		3	45	A2	2	247
16	14	85	85	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		3	45	A2	2	253
16	14	85	85	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		7	73	C#5	5	238
17	15	86	86	1.0	0	0	3/2	3	1	1/4	1/4	1		2	50	D3	3	261
17	15	86	86	1.0	0	0	3/2	4	1	1/4	1/4	1		2	50	D3	3	265
17	15	86	86	2.0	0	0	3/2	2	1	1/2	1/2	1		3	69	A4	4	258
17	15	86	86	1.0	0	0	3/2	1	1	1/4	1/4	1		6	78	F#5	5	254
17	15	87	87	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		5	47	B2	2	262
17	15	87	87	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		5	47	B2	2	266
17	15	87	87	1.0	1/4	1/4	3/2	1	1	1/4	1/4	1		5	71	B4	4	255
17	15	88	88	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		4	52	E3	3	263
17	15	88	88	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		4	52	E3	3	267
17	15	88	88	3.0	1/2	1/2	3/2	2	1	3/4	1/2	3/2		3	69	A4	4	259
17	15	88	88	3.0	1/2	1/2	3/2	1	1	3/4	1/2	3/2		5	71	B4	4	256
17	15	90	90	2.0	1	1	3/2	3	1	1/2	1/2	1		4	40	E2	2	264
17	15	90	90	2.0	1	1	3/2	4	1	1/2	1/2	1		4	40	E2	2	268
17	15	91	91	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		8	68	G#4	4	260
17	15	91	91	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		3	69	A4	4	257
18	16	92	92	4.0	0	0	3/2	3	1	1	1	1		3	45	A2	2	271
18	16	92	92	4.0	0	0	3/2	4	1	1	1	1		3	45	A2	2	272
18	16	92	92	4.0	0	0	3/2	1	1	1	1	1		3	69	A4	4	269
18	16	92	92	4.0	0	0	3/2	2	1	1	1	1		3	69	A4	4	270
